game_id,season,week,team,conference,opponent,team_score,opponent_score,drive_id,play_id,period,clock_minutes,clock_seconds,yards_to_goal,down,distance,reception_player_id,reception_player,reception_yds,completion_player_id,completion_player,completion_yds,rush_player_id,rush_player,rush_yds,interception_player_id,interception_player,interception_stat,interception_thrown_player_id,interception_thrown_player,interception_thrown_stat,touchdown_player_id,touchdown_player,touchdown_stat,incompletion_player_id,incompletion_player,incompletion_stat,target_player_id,target_player,target_stat,fumble_recovered_player_id,fumble_recovered_player,fumble_recovered_stat,fumble_forced_player_id,fumble_forced_player,fumble_forced_stat,fumble_player_id,fumble_player,fumble_stat,sack_player_id,sack_player,sack_stat,sack_taken_player_id,sack_taken_player,sack_taken_stat,pass_breakup_player_id,pass_breakup_player,pass_breakup_stat,field_goal_attempt_player_id,field_goal_attempt_player,field_goal_attempt_stat,field_goal_made_player_id,field_goal_made_player,field_goal_made_stat,field_goal_missed_player_id,field_goal_missed_player,field_goal_missed_stat,field_goal_blocked_player_id,field_goal_blocked_player,field_goal_blocked_stat
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676612,401856766219,2,12,40,65,2,10,5079687,Jordan Shipp,13,4592532,Billy Edwards,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676612,401856766224,2,12,7,52,1,10,NA,NA,NA,NA,NA,NA,5008017,Benjamin Hall,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676612,401856766233,2,10,58,58,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,1,5228607,Demon June,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676612,401856766236,2,10,53,58,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,1,5159039,C.J. Sadler,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766245,2,10,36,83,1,10,NA,NA,NA,NA,NA,NA,5214401,Jon Denman,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766249,2,9,52,80,2,7,5079663,Jeremy Payne,3,5083569,Jaden Craig,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766254,2,9,11,77,3,4,5200482,Ed Small,7,5083569,Jaden Craig,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766259,2,8,47,70,1,10,5126534,Jeremy Scott,3,5083569,Jaden Craig,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,0,0,4018567662,40185676626,1,12,53,17,1,10,NA,NA,NA,NA,NA,NA,5008017,Benjamin Hall,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766264,2,8,21,67,2,7,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766268,2,7,48,56,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5083569,Jaden Craig,1,5200482,Ed Small,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766276,2,7,16,66,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5083569,Jaden Craig,1,5391236,Kari Ashley,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676613,401856766279,2,7,11,66,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5083569,Jaden Craig,1,5214401,Jon Denman,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676614,401856766286,2,6,52,72,1,10,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676614,401856766290,2,6,21,61,1,10,NA,NA,NA,NA,NA,NA,5008017,Benjamin Hall,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676614,401856766294,2,5,44,59,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,1,5079687,Jordan Shipp,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,10,10,40185676614,401856766297,2,5,39,59,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,1,4871039,Jelani Thurman,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,0,0,4018567662,40185676630,1,12,16,14,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,1,5152717,Mason Humphrey,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676615,401856766304,2,5,24,85,1,10,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676615,401856766308,2,4,41,81,2,6,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676615,401856766312,2,4,4,76,3,1,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676615,401856766319,2,3,13,75,1,15,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676615,401856766323,2,2,28,65,2,5,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,10,40185676615,401856766327,2,1,55,69,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5083569,Jaden Craig,1,5221285,Jacobe Hayes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,0,0,4018567662,40185676633,1,12,4,14,3,7,5079687,Jordan Shipp,9,4592532,Billy Edwards,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,12,10,40185676617,401856766344,2,1,33,71,1,10,5077266,Trech Kekahuna,7,4592532,Billy Edwards,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,12,10,40185676617,401856766349,2,1,7,64,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592532,Billy Edwards,1,5152717,Mason Humphrey,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,12,10,40185676617,401856766352,2,1,1,64,3,3,NA,NA,NA,NA,NA,NA,5161835,Jaylen McGill,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,12,10,40185676617,401856766356,2,0,46,55,1,10,5077266,Trech Kekahuna,10,4592532,Billy Edwards,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676618,401856766365,2,0,43,55,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5083569,Jaden Craig,1,5164358,Dane Jones,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676618,401856766368,2,0,31,55,2,10,5079663,Jeremy Payne,6,5083569,Jaden Craig,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676618,401856766373,2,0,29,49,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5083569,Jaden Craig,1,5126534,Jeremy Scott,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,0,0,4018567662,40185676638,1,11,31,5,1,5,NA,NA,NA,NA,NA,NA,5008017,Benjamin Hall,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676620,401856766402,3,14,53,75,1,10,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676620,401856766406,3,14,22,75,2,10,5079663,Jeremy Payne,14,5083569,Jaden Craig,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676620,401856766411,3,13,58,61,1,10,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,TCU,Big 12,North Carolina,10,12,40185676620,401856766415,3,13,17,57,2,6,NA,NA,NA,NA,NA,NA,5079663,Jeremy Payne,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401856766,2026,1,North Carolina,ACC,TCU,0,0,4018567662,40185676642,1,10,49,1,2,1,NA,NA,NA,NA,NA,NA,5008017,Benjamin Hall,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
